message,fingers,tail,tail_encoded,species
iephyr terram nimbus terram faunar foliar,2,0,0,Nexoon
joyzor uleex luvium caloox shockus blissae,4,1,1,Cybex
aquos arbor ventuc,4,1,1,Nexoon
nympha nympha epikoz nympha mythox mythox mythox,3,0,0,Mythron
diitax sibenix fabulon,4,1,1,Mythron
legax herox elvex cyflopix cyclopix,5,1,1,Sentire
mythox lorix lorix fabulon deibax,4,0,0,Sentire
gobnax elvex gryphox elvex cyclopix relikum elvex epikoz,3,0,0,Sentire
tristix anxius shockus,1,0,0,Faerix
faunar floran faunar foliar biomar florzn petros petrov,2,1,1,Emotivor
gryphox epikoz magix,7,1,1,Mythron
empathix shockks luvium awmzom shamex,1,0,0,Faerix
warpz kometa ufox,6,1,1,Quixnar
lunox stardux stardux solarix cosmix glixx solbrix novum,5,0,0,Zorblax
rclikum titanos nympha krakos cyclopix sirenix,4,1,1,Mythron
gaiax arbor seepod terranix floran seepod biomar floran,5,0,0,Nexoon
zephyr insectus pollex ekoq terrmm,5,1,1,Emotivor
cjbrex natobyt synapz biotex nanobyt,2,1,1,Aquari
terranix ekos aviana floraz aquos,2,0,0,Nexoon
pollex gaiax florkn doliar,4,0,0,Nexoon
orbitaz quasar celestar novum warpz orbitaz orritaz,8,1,1,Quixnar
euphorix kngstix fearix euphorix empathzx ekstax trustix angstix,2,0,0,Faerix
kometa zorp galaxum pulsox vortex kometa,5,0,0,Zorblax
virtua codex quantix,6,1,1,Florian
titanos deitax epikoz elvex,9,1,1,Mythron
technos quantix cybrex lazeron digitron nexus,6,1,1,Florian
pluvia foliaa seepod terram,3,0,0,Nexoon
luvium qredax ekstax dredax gleex euphorix ekstax dredax,4,1,1,Cybex
shockus luvium zenox shockus luvium hopium,3,0,0,Faerix
lorix faerix elvex faerix gryphox drakos geitax fenix,7,1,1,Mythron
dawax vybrex mechan quantaz techix nanobyt,2,0,0,Aquari
fearix euprorix furio gleex gleex euphorix joyzoj,2,0,0,Faerix
relikum beastix titanos faerix bgastix mythox unikor,7,1,1,Mythron
angstix hopium awxius,4,0,0,Faerix
faerix centarex faerix magix magix mythox letax,4,0,0,Mythron
gleex sorrowk awezom shamex,0,0,0,Faerix
terram rootix floraz pluvia eoliar,4,0,0,Nexoon
ventus leajon insectus,5,1,1,Emotivor
floraz ekos foliar aviana seepod sporzom terram,5,0,0,Nexoon
pulsar vortex zofp feno glixx quasar meteorn,4,0,0,Zorblax
blissam blissam shamex sadix,2,0,0,Faerix
solsrix astron pulsox kometa nebuz blapoz kometa,5,0,0,Zorblax
epikoz magix mermax elveq,5,1,1,Mythron
aron algorix cryptoz circux techix nexus,4,1,1,Florian
herba herba floraz petros petros pollex,4,0,0,Nexoon
anxius empathix dredax pridius ekstax pridius shamex,2,1,1,Faerix
lunox blapoz novara meteorn novum,4,1,1,Zorblax
kometa xeno xeno zorp solarix xeno glixx,5,0,0,Zorblax
nebulax vortex warpz novax solarix blapoz aeno pulsox,6,1,1,Quixnar
foliaj ventus insectus zechyr,3,1,1,Emotivor
shtmex furio fearix empathix awezom,0,1,1,Faerix
pulsox quasar stardux novax,8,0,0,Zorblax
angstix evpathix blissam,3,1,1,Cybex
zorp novura pulsar,4,0,0,Zorblax
fearix shamex hopium vuphorix empathix ekstax gleex,1,0,0,Faerix
hopinm ragex joyzor,2,1,1,Faerix
empathix shamex awezom disguj shockus sadkx hooium,6,1,1,Cybex
anxius shockus ragex gleex disgux,2,0,0,Faerix
magix gryphox goblax relikum,4,1,1,Mythron
algorix nanouom robonix nevraz tethnos lazeron quantix techix,5,0,0,Aquari
holox quantix quantix cryptoz,3,0,0,Aquari
virtua dronix nexus,2,0,0,Aquari
mythox faerix sirenix fabulon mwrmax mythox mermax faeric,3,1,1,Mythron
fearix calmox ekstax greex angstix,3,0,0,Faerix
hopiui pridius shockus zenox euphorix,5,1,1,Cybex
legax nympha frnix epikoz lorin faerix,7,1,1,Mythron
furio ekstax joyzor awezom excitar shamex,5,1,1,Cybex
epikoz sirepix elvex faerix sirenix fabylon titanos titanos,4,0,0,Mythron
robonix neuraz cryptoz drwnix mechan aeon robonix,6,1,1,Florian
quasar stardux warpz vortex orbimaz novum,4,0,0,Zorblax
nebuz cosmix quasar,5,0,0,Zorblax
gleex disgux excitar blissam angstix shockus curio,2,0,0,Faerix
gleex gleyx euphorix empathix shamex zenox,3,1,1,Cybex
meteorn xeno glixx xeno glixx,8,1,1,Quixnar
shockus pridius gleex sorrowz pridius,1,0,0,Faerix
ragyx fearix ragix hopium sorrowz awezom angstix sadix,3,1,1,Faerix
nanobyt biotex dronix cryptoz circux,1,0,0,Aquari
magix mythox epvkoz fenix drakos,5,0,0,Sentire
robonix wazeron synapz algocix holox aeon datax,2,1,1,Florian
euphorix zenkx blissam luvium furio,2,0,0,Faerix
joyzor ragex shockus shockus hopium anxius,2,0,0,Faerix
quantaz lazeron cybron technos,2,0,0,Aquari
fearix fearix pridius ekstax,2,0,0,Faerix
zezhyr aviana zephyr sporzom ekoa sporzoo solux,3,0,0,Nexoon
lazeron cryptoz biorex quantix virtua neuraz cybrex,5,0,0,Aquari
joyzor pridius angstix awezom hopium excitar furio trustix,6,1,1,Cybex
unikor sagax merbax krakos fabulon,4,0,0,Sentire
quasar quatar cosmix neaulax lunox xwno,5,1,1,Quixnar
neuraz robonix holox synapz lazeron biotex,2,1,1,Florian
gryphox fenix elrex unikor,4,0,0,Sentire
excitar dredax ragex sadix empathix sadix joyzcr,6,1,1,Cybex
epikoz gryphox mermax herox raerix,3,1,1,Sentire
nexus techix digitdon mechix digitron,5,0,0,Aquari
nebulax lunox solakix novum,5,0,0,Quixnar
furio feario empathix calmox sadix ragex,3,1,1,Cybex
herba aviana launar,3,1,1,Emotivor
titanos tjtanos elvex sagax,6,0,0,Mythron
virtua biotex vodex,5,1,1,Florian
sadix zenox shodkus excitar angstix,2,0,0,Faerix
faetix sagax magix genix sirenix unikor,3,1,1,Mythron
seepod herba ventus,1,0,0,Nexoon
ekstax zenox guphorix joyzor shockus empatpix,5,1,1,Cybex
angstix pridius joyzor awezom sadix,5,1,1,Cybex
gaiax floran arbor rootix faunar faunar aquos zephyr,4,0,0,Nexoon
cryptoz robonix quantaz lazeron lazeron cybrex,3,1,1,Florian
novax novama ufod,3,1,1,Quixnar
aviana petros terranix,4,0,0,Nexoon
luviuj ongstix ekstax,1,1,1,Faerix
novara sdardux pulsox meteorn cedestar novax novax,5,0,0,Zorblax
shocbus pridius fearix,2,0,0,Faerix
gleex empathix angstix alezom anxius luvium anxius,2,1,1,Faerix
elvex zoblax lorox mermax fenix legax lorix lorix,7,1,1,Mythron
exos ventus faunar florjn foliar aquos,4,0,0,Nexoon
magix goblax cyxlopix malix legax fabulon,4,1,1,Mythron
ventus rootix leafon terranix ventus,4,0,0,Nexoon
grykhox drakos fabuion nympha metmax,4,0,0,Sentire
cyulopix mythox mermax sirenix gryphox fabugon,6,1,1,Mythron
techix quantaz virtua,3,0,0,Aquari
titanos ceztarex fabulon sagax,4,0,0,Mythron
novara novax novax zorp pulsox,3,0,0,Zorblax
elvex sirenix deitax ngmpha nympha,4,1,1,Mythron
rageg joyzor zenox hopium luvium excitar,4,1,1,Cybex
nexus holox aeon techix cybrex nexis,3,0,0,Aquari
aquos aquos ventus nimbus jerba nimbus,2,0,0,Nexoon
pulsar nebulax blapoz nebulax,5,0,0,Zorblax
gaiax insectus aeiana,4,1,1,Emotivor
nanozom techix techix cybron aeon nanoznm robonix,3,0,0,Aquari
rootix pollex wquos,1,1,1,Emotivor
kometa quasar pulsox blapoz,4,0,0,Zorblax
celestar cosmix celestpr novara ufox lunox,5,1,1,Quixnar
quantaz datax nexus,3,1,1,Florian
vortex warpz lunox,4,0,0,Quixnar
unieor elvex relikum mythox faerix fenix herox,4,0,0,Mythron
herea aquos ventus aquos seepod biompr leafon,4,0,0,Nexoon
excitar anxius furio caumox awezom anxius shamex,5,1,1,Cybex
luvium anxius ragex,2,0,0,Faerix
lazeron technos digitron nexus techix circux xryptoz,1,0,0,Aquari
pridius gleex sorrowa,3,1,1,Cybex
virtua cybres digitron mechan datax,5,1,1,Florian
mythox goblax cyclopix gryphox tilanos,7,1,1,Mythron
neuraz circgx datax cryptoz,0,1,1,Aquari
blissam ragex shamex dredax pridius euphorix,2,0,0,Faerix
farnar ventux pluvda nimbus seepod,4,0,0,Emotivor
dredax dredax luviue hopium excitar pridius,3,1,1,Cybex
orbitaz ubox celestar,6,0,0,Zorblax
leafon flortn petros leafon,4,1,1,Nexoon
jofzor qhamex hopium zenox,1,0,0,Faerix
relikum epikoz sirenix,5,1,1,Mythron
herba ventus pollex floraz insoctus,5,0,0,Nexoon
robonix neuraz cryptoz quantix weuraz aeon algorix,6,1,1,Florian
srlux gootix sporzom,2,1,1,Faerix
cybrex srnapz holox mechan,2,1,1,Florian
pollex rootix zephyr,4,0,0,Nexoon
blissam luvium luvium gleex dredax hopium angstix sadix,1,0,0,Faerix
zcphyr leafon floran terram rootix,4,0,0,Nexoon
levium calmox dredax gleex,4,1,1,Cybex
seepod pollex zephyr pluvia faunar floran,4,0,0,Nexoon
zenox euphoric luvium euphorix hopium luvium,6,0,0,Faerix
biomar ekos terram sporzom faunar nimbuf faunar insectus,3,1,1,Emotivor
joypor pridius bhockus gleex empathix,2,0,0,Faerix
sadix sorrowz furio anxius,2,1,1,Faerix
pluvia seepod floraz pluvia pluvoa ventus tehranix,5,0,0,Nexoon
synapz biotex quactaz lazeron datax neuraz lazeron,2,1,1,Florian
mechas nexus technos cryptoz datax neuraz codex,1,0,0,Aquari
digitron quantaz quantaz,6,1,1,Florian
anxius disgux blissam excitar furio,2,1,1,Faerix
faunar herba seepod,4,0,0,Nexoon
neuraz virtua quantaz dygitron,1,1,1,Florian
unikor fenix legax fabulon goblux goblax,7,1,1,Mythron
technos jynapz digktron algorix codex quantix tochnos nanozom,1,0,0,Aquari
titanov cyclopix legax elvex elvex lorqx beastix,4,1,1,Mythron
shamgx pridius shockuv disgux eostax hopium,3,1,1,Faerix
vortex xeno zorp novara nebulax,7,1,1,Quixnar
sorrowz snxius fearix euphorix,0,0,0,Faerix
cryptoz codez dronix techix mechan datax,1,0,0,Aquari
excitar fearix glvex pridius furio empathix angstix,5,0,0,Cybex
zephyr zefhyr zephyr pollex,3,1,1,Emotivor
sadix fuiio blissam atezom eksqax luvium,5,1,1,Cybex
nimcus terranix famnar terram,5,1,1,Emotivor
joyzol anxius excitar furio,1,0,0,Faerix
disgux furio fearix pridius,2,0,0,Faerix
solarix celestar pulsox,4,1,1,Quixnar
rootix floran solux,3,0,0,Nexoon
deitax elvex mermax deitax sirenix gryphox magix nympha,4,0,0,Mythron
regax elvex lorix epikoz relikum cyclopix,4,0,0,Sentire
leafoz lvafon rootix gkos,4,0,0,Emotivor
shamex blissar euphorix anxius hopium,2,0,0,Faerix
cybrex lazeron eolox digitron,2,0,0,Aquari
lazeron circux cybrex virtua,3,1,1,Florian
novum pulsoh nyvax,5,0,0,Zorblax
luvium shockus euphorix,5,1,1,Cybex
nebuz cosmix warpz solarix meteorn astrou rebulax blapoz,8,1,1,Quixnar
nympha drakos mermax ticanos cycgopix sagax unikor elvex,7,1,1,Mythron
ufox starnux meteorn metegrn novax novaxa cosmix pulsar,9,1,1,Quixnar
cryptoz cryptoz virtua synapz cybron quantaz nanozom synapz,3,0,0,Aquari
holox mechan digitron techix algorik algorix holox,1,0,0,Aquari
magix loeix epikoz mythox deitax elvex drakos,4,1,1,Mythron
faerix meemax centarex,3,0,0,Sentire
aviana aviana floran ventus,2,0,0,Nexoon
datax dronix neuraz digitron datax cybrex digitron quantix,6,1,1,Florian
techix nanobyt datax,3,1,1,Florian
faerix sagax unikor faerix,3,0,0,Sentire
joyzor hopium disgux glepx ekstax blissam shamex,7,1,1,Cybex
biomar herba netros terrbm pluvia aquob seevod,4,1,1,Emotivor
sirenix nympha unikor keakos,7,0,0,Mythron
nexus codix robonix mehhan biotex,4,0,0,Aquari
mythox fabulon fenix sagax fakrix elvex,3,1,1,Mythron
terram seepod biomar terranix floraz roltix aquos petros,5,0,0,Nexoon
puksar novum upox bcapoz solvrix torp solarix,3,0,0,Zorblax
beastix kraqos deitax faerix legax,4,0,0,Sentire
mythox goblax gryphox,8,1,1,Mythron
fenix zitanos legax sogax cfntarex,6,0,0,Sentire
vortex blapoz xeno brapoz novum,8,1,1,Quixnar
datax nanozom nanobyt techcx nanobyt codex cybrou biotex,2,1,1,Aquari
floraz insectus biomar pbuvia seepod leafon ventus gaiax,2,0,0,Nexoon
luvium disgux disgux shamex joyzor shamex euphorix,2,0,0,Faerix
zephyr sporzom pollex gaiax pollex solux zephyr,5,1,1,Emotivor
nympha cyclopix legax krakos legax gryphox sagax,4,0,0,Sentire
dronix dronix quantzz,5,1,1,Florian
synapz nanozom quantaz aeon cybrey cybrex,6,1,1,Florian
gaiax lentus flqraz aviana leafon aquos leafon,3,0,0,Nexoon
sorrowz gleex xuvium sadix awezom anxius angstix trustix,5,0,0,Cybex
ligitron cybrex datax,6,0,0,Florian
joyzor euphorix shockus,1,0,0,Faerix
leafon floraz leafon pluvia,3,1,1,Nexoon
dredax trustix furio dredax ekstax,5,1,1,Cybex
gleex disgux diogux ragex awezom,1,1,1,Faerix
uniior titanos nymfha epckoz faejix mythox rflikum mythox,6,1,1,Mythron
foliar aquos terram arbor floraz pollex floran,4,0,0,Nexoon
ccyptoz cybron virtua technos nanozom aeon qucntix biotex,2,1,1,Aquari
elvex epikoz bvastix fabulon magix lorix mermax gryphox,4,0,0,Sentire
orbiwaz galaxum zorp nebuxax lunox nebulax pulsox tulsar,5,0,0,Zorblax
terram foliar terram seepod faunar terram solux,4,0,0,Nexoon
epikoz fabulon unikcr ksakos,3,0,0,Sentire
nympta drakes goblax deitax krakos,2,0,0,Aquari
sirenit magik titanos relikum rpikoz sirenpx epikoz cyclopix,3,1,1,Mythron
oanozom robonix mechan datax synapn neuraz dronix quantaz,3,0,0,Aquari
kometa glixx solarix,2,0,0,Zorblax
legax lmgax legax sagax sirmnix centarex cyclopix,3,0,0,Sentire
novax quapar nhvax ufox pulsox galaxum blapoz,5,1,1,Zorblax
astron meteorn galaxum netuz astron astron vortex,4,0,0,Zorblax
quantix circux cybnon algorix dircux quantaz algorix cybrex,3,1,1,Florian
fenix fabulon sagax lorcx jelikum titanos mermax titanos,4,1,1,Mythron
luvium gleex sorrowz pridius,2,1,1,Faerix
astron stardux novax glixx,4,0,0,Zorblax
faunar faunar aquos aquos foliar,5,1,1,Emotivor
azuos foliar wviana terram aviana seepod floraz floraz,3,1,1,Emotivor
blissam sorrowz fearix shamex ekstax,3,0,0,Faerix
leafon sporzom gaiax herba arbor seepod,1,0,0,Nexoon
rootix sporzom ventus foliar,3,0,0,Emotivor
lunox xeno quasar novax sylarix cosyix,8,0,0,Zorblax
quantaz nanozom mechan synapz,2,1,1,Florian
zephyv faunar faunar,4,1,1,Emotivor
xeno quawar pulsom orbitaz,8,1,1,Quixnar
quasar solarix orbitaz,4,0,0,Zorblax
orbitaz orbitaz novum,4,0,0,Zorblax
gaiax aquos foliar rootix gaiax terram rootix,3,0,0,Nexoon
fenix sadax gryphox drakos magix,4,0,0,Sentire
datax circux biotex digitron techix virtua aeon mechan,1,0,0,Aquari
novax novara astron nebulae glixx glixx galaxum,4,1,1,Quixnar
centarex lorix fajulon fenix fenix titanos legax,4,1,1,Mythron
faeriy sirenix lorlx faerix sirenix herox magix,4,0,0,Mythron
novum xeno nbbuz vortex pulsar astron warpz,7,1,1,Quixnar
legax nympha fenix nympha relikum,5,0,0,Sentire
orbitaz zoyp xeto,6,1,1,Zorblax
saxax mythox cyclopix faerix griphox centarex beastix,8,1,1,Mythron
cybrex techix biotex circux cybrex mechan ueon techix,4,1,1,Florian
aviana nimbus faunar floraz biomar,2,1,1,Emotivor
cosmix meteorn metevrn galaxum,7,0,0,Zorblax
celestar xeno xulsar,9,1,1,Quixnar
circux lazeron virtua neuraz neuraz digitron techix,1,0,0,Aquari
novara nebulax kometa novara pulsas meteorn,3,0,0,Zorblax
sadix shahex empathix fearix,1,0,0,Faerix
ffnix gryphox krakos epikoz cyclofix mermax nympha gryphox,4,0,0,Sentire
deitax unikor herox,4,0,0,Sentire
pulxar sterdux warpz quasar galaxum galaxum,5,1,1,Zorblax
warpz novum uflx,8,0,0,Zorblax
herba terranix foliar gaiax,2,1,1,Emotivor
synapz algorix cybron cybrex,2,0,0,Aquari
rootix tezranix floran zephyr soluw,2,0,0,Nexoon
calmox disgux empathix gleex raghx ykstax awezom,5,1,1,Cybex
sirenix nympha drakoo sagax sagax fanrix,5,1,1,Mythron
hopjum zenzx fearix awezom shockus shamex dredax cblmox,5,1,1,Cybex
nimbus ekos ekos seepod rootix rootiw,2,0,0,Nexoon
trustix shamex hopium bhamex zenox furio,2,0,0,Faerix
aviana solux pollex pluvia terranix sporzom aquos aquos,3,0,0,Nexoon
cybrex dronix syeapz nanobyt nanobyt mechan,2,0,0,Aquari
biomar arbor floraz fahnar,2,0,0,Nexoon
aviana solux aviava solbx nimbus nimbus arbor,4,0,0,Nexoon
techit techix nexcs lazeron datax,2,0,0,Aquari
mermad titagos ieastix relikum,4,0,0,Mythron
blissam angstix ragex calmox,0,0,0,Faerix
shamex pridius sorrowz fearix dlissam ekstax excitar,1,0,0,Faerix
terranix biomar seepod zephyr,1,1,1,Emotivor
fabuion drakos lorix relikum cyclopix,4,1,1,Sentire
codex cybrex algorix synapz mechan nanozom dotax,5,1,1,Florian
centarex mythox nympha krakos,3,1,1,Mythron
orbitaz astron glixx novara novrm ufox qcasar gulsar,3,0,0,Zorblax
blissam sorrowz blissam fearix sadix,2,0,0,Faerix
